,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Calories,1.0,0.9045878034080987,0.904409157392784,0.9041225475825321,0.8455636373196471,0.8476307748477562,0.5224409156443288,0.5963991591663717,0.5952076884475579,0.7123086892939092,0.7134149655272983,0.7815394649448484,0.7812420299671722,0.5388935076050452,0.5400141869094212,0.2595981214640159,0.7878474518452038,0.10884403893939043,0.06874703569399432,0.4284264596507916,0.64355160422737
Calories from Fat,0.9045878034080987,1.0,0.9996634955897415,0.9997252590554802,0.8470075893098641,0.8495919575680888,0.433686139385935,0.682161103865351,0.681606995428646,0.8466244111207326,0.847276352640494,0.4616722517236349,0.46146306767909906,0.5812737882784271,0.5756205788835643,0.1152846946564677,0.8079132589493545,0.056730723445420544,0.08733073089973017,0.16103408689659812,0.7358943110888447
Total Fat,0.904409157392784,0.9996634955897415,1.0,0.9997647393950018,0.84670724472005,0.8492927866073073,0.4314529030238229,0.6805473676673243,0.6799997024908231,0.8461584213460124,0.8467802205357678,0.4612134651326916,0.4610047863066599,0.5808372533559369,0.5752063346189407,0.11544572832816685,0.8077729561203832,0.05443396215081169,0.08935397430290525,0.16285951529292986,0.7346845141568472
Total Fat (% Daily Value),0.9041225475825321,0.9997252590554802,0.9997647393950018,1.0,0.847379252338325,0.8499730085183167,0.43301574074660226,0.6809395325346513,0.6803780926009619,0.8467279202346661,0.8473681656384684,0.46051625451580086,0.46029841123914866,0.5805917879146336,0.5750330048671124,0.11576122491831478,0.8079222067575104,0.05403819139883524,0.08935258065107046,0.1620308845785111,0.7354775459676242
Saturated Fat,0.8455636373196471,0.8470075893098641,0.84670724472005,0.847379252338325,1.0,0.9992786185115089,0.6206106142765513,0.6312104675830911,0.6303340569577576,0.5840752616122256,0.5853234200205948,0.5912606345941018,0.5917430640164687,0.35181784073756606,0.347151713079865,0.19773362307770465,0.6030275437573073,0.06497234213013943,0.17967200466939523,0.4033107656144642,0.5780623747104574
Saturated Fat (% Daily Value),0.8476307748477562,0.8495919575680888,0.8492927866073073,0.8499730085183167,0.9992786185115089,1.0,0.6202102466798447,0.6336030749129165,0.6327115967701734,0.5886936331908122,0.5899584201766298,0.5913220096621569,0.5916546205806604,0.3568306704587878,0.35179740266804593,0.1959279940338807,0.6065814565319811,0.06537607837815915,0.1780587538407227,0.40113868324023605,0.5804878651086318
Trans Fat,0.5224409156443288,0.433686139385935,0.4314529030238229,0.43301574074660226,0.6206106142765513,0.6202102466798447,1.0,0.2539345192590322,0.25150204453828046,0.18758040330778875,0.18833862048397318,0.46324990476795064,0.4628914840165747,0.05491838723441014,0.058301284321408624,0.33475578997339006,0.3882485025793163,0.07583346893597077,0.07661213878382182,0.3853311036308707,0.32547588452543147
Cholesterol,0.5963991591663717,0.682161103865351,0.6805473676673243,0.6809395325346513,0.6312104675830911,0.6336030749129165,0.2539345192590322,1.0,0.9998553521462422,0.6243618581650675,0.6247428595109713,0.2709774709356131,0.272661671384779,0.43557480086686173,0.44026646168284594,0.13551831633736397,0.5615614117399177,0.08023904076417387,0.08297821265257432,0.13207673822818133,0.6549995460172373
Cholesterol (% Daily Value),0.5952076884475579,0.681606995428646,0.6799997024908231,0.6803780926009619,0.6303340569577576,0.6327115967701734,0.25150204453828046,0.9998553521462422,1.0,0.6233197296052115,0.6237204539234366,0.2692997589349471,0.27099242030074633,0.4349402888231389,0.4398142009037463,0.13645936770059733,0.5609569471407542,0.08005942515674022,0.0833146975774059,0.13238169313198017,0.6531674957634798
Sodium,0.7123086892939092,0.8466244111207326,0.8461584213460124,0.8467279202346661,0.5840752616122256,0.5886936331908122,0.18758040330778875,0.6243618581650675,0.6233197296052115,1.0,0.9999286038967881,0.20079561673505092,0.2010320841280457,0.6943894554834724,0.6899951053913064,0.42653553249339665,0.8698015672713703,0.08306810407845133,0.030769341183886086,0.02407377496203426,0.8715926770956608
Sodium (% Daily Value),0.7134149655272983,0.847276352640494,0.8467802205357678,0.8473681656384684,0.5853234200205948,0.5899584201766298,0.18833862048397318,0.6247428595109713,0.6237204539234366,0.9999286038967881,1.0,0.2024264791708689,0.20266302313972967,0.6939133080904091,0.6894642573324599,0.4249430249904959,0.8698699899115694,0.08325879510377965,0.030945232347411974,0.02214496525963091,0.8707419911949423
Carbohydrates,0.7815394649448484,0.4616722517236349,0.4612134651326916,0.46051625451580086,0.5912606345941018,0.5913220096621569,0.46324990476795064,0.2709774709356131,0.2692997589349471,0.20079561673505092,0.2024264791708689,1.0,0.9996204001860499,0.2245766238054422,0.22825669519044292,0.7623621448845459,0.35212223557892247,0.0838017111768473,0.034724302252472306,0.5896987366041019,0.21024093454273957
Carbohydrates (% Daily Value),0.7812420299671722,0.46146306767909906,0.4610047863066599,0.46029841123914866,0.5917430640164687,0.5916546205806604,0.4628914840165747,0.272661671384779,0.27099242030074633,0.2010320841280457,0.20266302313972967,0.9996204001860499,1.0,0.22405780954193263,0.2272849720709287,0.7622819877349493,0.35217805589755463,0.08337578553990403,0.03545009198593201,0.5902633521779939,0.21064337639575062
Dietary Fiber,0.5388935076050452,0.5812737882784271,0.5808372533559369,0.5805917879146336,0.35181784073756606,0.3568306704587878,0.05491838723441014,0.43557480086686173,0.4349402888231389,0.6943894554834724,0.6939133080904091,0.2245766238054422,0.22405780954193263,1.0,0.986350288102768,0.2951784207626668,0.6413448345767541,0.3405183711508933,0.14193503024553042,0.028711079699260213,0.7404110351437427
Dietary Fiber (% Daily Value),0.5400141869094212,0.5756205788835643,0.5752063346189407,0.5750330048671124,0.347151713079865,0.35179740266804593,0.058301284321408624,0.44026646168284594,0.4398142009037463,0.6899951053913064,0.6894642573324599,0.22825669519044292,0.2272849720709287,0.986350288102768,1.0,0.287013891345728,0.6566482496638104,0.36138045478758807,0.15001850767498962,0.05235902668842296,0.7378139783065258
Sugars,0.2595981214640159,0.1152846946564677,0.11544572832816685,0.11576122491831478,0.19773362307770465,0.1959279940338807,0.33475578997339006,0.13551831633736397,0.13645936770059733,0.42653553249339665,0.4249430249904959,0.7623621448845459,0.7622819877349493,0.2951784207626668,0.287013891345728,1.0,0.17993964932372827,0.048487708489342515,0.0698469839624912,0.6000929091904795,0.36476707845065603
Protein,0.7878474518452038,0.8079132589493545,0.8077729561203832,0.8079222067575104,0.6030275437573073,0.6065814565319811,0.3882485025793163,0.5615614117399177,0.5609569471407542,0.8698015672713703,0.8698699899115694,0.35212223557892247,0.35217805589755463,0.6413448345767541,0.6566482496638104,0.17993964932372827,1.0,0.21409799003242372,0.04577680543516488,0.32797108597456653,0.7927194551593942
Vitamin A (% Daily Value),0.10884403893939043,0.056730723445420544,0.05443396215081169,0.05403819139883524,0.06497234213013943,0.06537607837815915,0.07583346893597077,0.08023904076417387,0.08005942515674022,0.08306810407845133,0.08325879510377965,0.0838017111768473,0.08337578553990403,0.3405183711508933,0.36138045478758807,0.048487708489342515,0.21409799003242372,1.0,0.0691711100219368,0.1791899439410469,0.13787902207785183
Vitamin C (% Daily Value),0.06874703569399432,0.08733073089973017,0.08935397430290525,0.08935258065107046,0.17967200466939523,0.1780587538407227,0.07661213878382182,0.08297821265257432,0.0833146975774059,0.030769341183886086,0.030945232347411974,0.034724302252472306,0.03545009198593201,0.14193503024553042,0.15001850767498962,0.0698469839624912,0.04577680543516488,0.0691711100219368,1.0,0.21537980884384758,0.0012917405228226571
Calcium (% Daily Value),0.4284264596507916,0.16103408689659812,0.16285951529292986,0.1620308845785111,0.4033107656144642,0.40113868324023605,0.3853311036308707,0.13207673822818133,0.13238169313198017,0.02407377496203426,0.02214496525963091,0.5896987366041019,0.5902633521779939,0.028711079699260213,0.05235902668842296,0.6000929091904795,0.32797108597456653,0.1791899439410469,0.21537980884384758,1.0,0.03414874019662015
Iron (% Daily Value),0.64355160422737,0.7358943110888447,0.7346845141568472,0.7354775459676242,0.5780623747104574,0.5804878651086318,0.32547588452543147,0.6549995460172373,0.6531674957634798,0.8715926770956608,0.8707419911949423,0.21024093454273957,0.21064337639575062,0.7404110351437427,0.7378139783065258,0.36476707845065603,0.7927194551593942,0.13787902207785183,0.0012917405228226571,0.03414874019662015,1.0
